date,price
22-Apr-12,0
29-Apr-12,6.666666667
6-May-12,7.142857143
13-May-12,7.142857143
20-May-12,0
27-May-12,0
3-Jun-12,7.142857143
10-Jun-12,6.666666667
17-Jun-12,7.692307692
24-Jun-12,7.142857143
1-Jul-12,0
8-Jul-12,0
15-Jul-12,0
22-Jul-12,7.142857143
29-Jul-12,0
5-Aug-12,6.666666667
12-Aug-12,0
19-Aug-12,7.142857143
26-Aug-12,6.666666667
2-Sep-12,0
9-Sep-12,0
16-Sep-12,7.142857143
23-Sep-12,6.666666667
30-Sep-12,0
7-Oct-12,6.666666667
14-Oct-12,0
21-Oct-12,6.25
28-Oct-12,0
4-Nov-12,0
11-Nov-12,7.142857143
18-Nov-12,0
25-Nov-12,7.142857143
2-Dec-12,0
9-Dec-12,0
16-Dec-12,7.692307692
23-Dec-12,0
30-Dec-12,0
6-Jan-13,1.612903226
13-Jan-13,0
20-Jan-13,0
27-Jan-13,0
3-Feb-13,6.25
10-Feb-13,0
17-Feb-13,0
24-Feb-13,5.263157895
3-Mar-13,5.555555556
10-Mar-13,0
17-Mar-13,0
24-Mar-13,0
31-Mar-13,7.142857143
7-Apr-13,0
14-Apr-13,6.25
21-Apr-13,0
28-Apr-13,4.347826087
5-May-13,0
12-May-13,7.692307692
19-May-13,0
26-May-13,0
2-Jun-13,0
9-Jun-13,0
16-Jun-13,8.695652174
23-Jun-13,4.347826087
30-Jun-13,4.761904762
7-Jul-13,0
14-Jul-13,0
21-Jul-13,0
28-Jul-13,0
4-Aug-13,4.545454545
11-Aug-13,5
18-Aug-13,0
25-Aug-13,0
1-Sep-13,5.263157895
8-Sep-13,4.761904762
15-Sep-13,0
22-Sep-13,5.263157895
29-Sep-13,0
6-Oct-13,5.555555556
13-Oct-13,0
20-Oct-13,6.25
27-Oct-13,0
3-Nov-13,0
10-Nov-13,6.25
17-Nov-13,0
24-Nov-13,8.333333333
1-Dec-13,0
8-Dec-13,0
15-Dec-13,7.692307692
22-Dec-13,0
29-Dec-13,0
5-Jan-14,0
12-Jan-14,5.555555556
19-Jan-14,0
26-Jan-14,0
2-Feb-14,0
9-Feb-14,0
16-Feb-14,0
23-Feb-14,0
2-Mar-14,6.25
9-Mar-14,6.666666667
16-Mar-14,0
23-Mar-14,6.666666667
30-Mar-14,7.142857143
6-Apr-14,6.666666667
13-Apr-14,7.142857143
20-Apr-14,0
27-Apr-14,0
4-May-14,0
11-May-14,0
18-May-14,0
25-May-14,0
1-Jun-14,0
8-Jun-14,0
15-Jun-14,0
22-Jun-14,0
29-Jun-14,0
6-Jul-14,0
13-Jul-14,0
20-Jul-14,7.142857143
27-Jul-14,0
3-Aug-14,0
10-Aug-14,0
17-Aug-14,0
24-Aug-14,0
31-Aug-14,7.142857143
7-Sep-14,0
14-Sep-14,0
21-Sep-14,7.142857143
28-Sep-14,0
5-Oct-14,6.25
12-Oct-14,0
19-Oct-14,0
26-Oct-14,7.142857143
2-Nov-14,0
9-Nov-14,7.692307692
16-Nov-14,0
23-Nov-14,0
30-Nov-14,0
7-Dec-14,0
14-Dec-14,7.692307692
21-Dec-14,0
28-Dec-14,0
4-Jan-15,7.142857143
11-Jan-15,0
18-Jan-15,6.666666667
25-Jan-15,0
1-Feb-15,6.25
8-Feb-15,0
15-Feb-15,0
22-Feb-15,13.33333333
1-Mar-15,7.142857143
8-Mar-15,0
15-Mar-15,0
22-Mar-15,6.666666667
29-Mar-15,0
5-Apr-15,7.142857143
12-Apr-15,7.142857143
19-Apr-15,0
26-Apr-15,7.692307692
3-May-15,0
10-May-15,0
17-May-15,0
24-May-15,8.333333333
31-May-15,0
7-Jun-15,0
14-Jun-15,0
21-Jun-15,0
28-Jun-15,8.333333333
5-Jul-15,15.38461538
12-Jul-15,14.28571429
19-Jul-15,7.692307692
26-Jul-15,0
2-Aug-15,7.692307692
9-Aug-15,7.692307692
16-Aug-15,7.142857143
23-Aug-15,7.692307692
30-Aug-15,0
6-Sep-15,0
13-Sep-15,0
20-Sep-15,0
27-Sep-15,0
4-Oct-15,0
11-Oct-15,4.545454545
18-Oct-15,0
25-Oct-15,6.666666667
1-Nov-15,0
8-Nov-15,0
15-Nov-15,0
22-Nov-15,0
29-Nov-15,0
6-Dec-15,0
13-Dec-15,0
20-Dec-15,0
27-Dec-15,0
3-Jan-16,0
10-Jan-16,0
17-Jan-16,5.555555556
24-Jan-16,0
31-Jan-16,0
7-Feb-16,5.882352941
14-Feb-16,0
21-Feb-16,0
28-Feb-16,0
6-Mar-16,0
13-Mar-16,0
20-Mar-16,0
27-Mar-16,0
3-Apr-16,0
10-Apr-16,0
17-Apr-16,0
24-Apr-16,0
1-May-16,0
8-May-16,0
15-May-16,0
22-May-16,0
29-May-16,7.692307692
5-Jun-16,0
12-Jun-16,0
19-Jun-16,4.347826087
26-Jun-16,0
3-Jul-16,0
10-Jul-16,0
17-Jul-16,0
24-Jul-16,6.666666667
31-Jul-16,0
7-Aug-16,0
14-Aug-16,0
21-Aug-16,5.882352941
28-Aug-16,0
4-Sep-16,0
11-Sep-16,0
18-Sep-16,0
25-Sep-16,5.882352941
2-Oct-16,6.666666667
9-Oct-16,6.25
16-Oct-16,6.666666667
23-Oct-16,6.666666667
30-Oct-16,7.142857143
6-Nov-16,0
13-Nov-16,0
20-Nov-16,0
27-Nov-16,0
4-Dec-16,7.142857143
11-Dec-16,7.692307692
18-Dec-16,0
25-Dec-16,0
1-Jan-17,0
8-Jan-17,0
15-Jan-17,0
22-Jan-17,0
29-Jan-17,5.555555556
5-Feb-17,5.555555556
12-Feb-17,6.25
19-Feb-17,5.882352941
26-Feb-17,5.882352941
5-Mar-17,5.555555556
12-Mar-17,1.19047619
19-Mar-17,2.631578947
26-Mar-17,4.347826087
2-Apr-17,4.545454545
9-Apr-17,4.761904762
16-Apr-17,4.761904762
