date,price
22-Apr-12,81.25
29-Apr-12,93.33333333
6-May-12,92.85714286
13-May-12,92.85714286
20-May-12,100
27-May-12,107.6923077
3-Jun-12,85.71428571
10-Jun-12,80
17-Jun-12,100
24-Jun-12,85.71428571
1-Jul-12,92.85714286
8-Jul-12,81.25
15-Jul-12,86.66666667
22-Jul-12,92.85714286
29-Jul-12,114.2857143
5-Aug-12,113.3333333
12-Aug-12,106.25
19-Aug-12,100
26-Aug-12,100
2-Sep-12,86.66666667
9-Sep-12,100
16-Sep-12,114.2857143
23-Sep-12,106.6666667
30-Sep-12,81.25
7-Oct-12,100
14-Oct-12,107.1428571
21-Oct-12,93.75
28-Oct-12,107.6923077
4-Nov-12,115.3846154
11-Nov-12,128.5714286
18-Nov-12,191.6666667
25-Nov-12,107.1428571
2-Dec-12,113.3333333
9-Dec-12,161.5384615
16-Dec-12,184.6153846
23-Dec-12,200
30-Dec-12,100
6-Jan-13,22.58064516
13-Jan-13,60
20-Jan-13,69.56521739
27-Jan-13,85
3-Feb-13,106.25
10-Feb-13,83.33333333
17-Feb-13,84.21052632
24-Feb-13,78.94736842
3-Mar-13,83.33333333
10-Mar-13,100
17-Mar-13,100
24-Mar-13,146.6666667
31-Mar-13,121.4285714
7-Apr-13,100
14-Apr-13,100
21-Apr-13,100
28-Apr-13,60.86956522
5-May-13,87.5
12-May-13,115.3846154
19-May-13,93.33333333
26-May-13,45.45454545
2-Jun-13,14
9-Jun-13,35.8974359
16-Jun-13,60.86956522
23-Jun-13,56.52173913
30-Jun-13,66.66666667
7-Jul-13,60
14-Jul-13,23.72881356
21-Jul-13,57.14285714
28-Jul-13,72.72727273
4-Aug-13,68.18181818
11-Aug-13,80
18-Aug-13,75
25-Aug-13,83.33333333
1-Sep-13,84.21052632
8-Sep-13,71.42857143
15-Sep-13,76.19047619
22-Sep-13,84.21052632
29-Sep-13,70
6-Oct-13,83.33333333
13-Oct-13,106.6666667
20-Oct-13,100
27-Oct-13,113.3333333
3-Nov-13,93.75
10-Nov-13,100
17-Nov-13,120
24-Nov-13,200
1-Dec-13,114.2857143
8-Dec-13,146.1538462
15-Dec-13,176.9230769
22-Dec-13,260
29-Dec-13,76.19047619
5-Jan-14,75
12-Jan-14,94.44444444
19-Jan-14,94.11764706
26-Jan-14,40.90909091
2-Feb-14,20.51282051
9-Feb-14,77.27272727
16-Feb-14,94.11764706
23-Feb-14,100
2-Mar-14,87.5
9-Mar-14,100
16-Mar-14,106.6666667
23-Mar-14,106.6666667
30-Mar-14,107.1428571
6-Apr-14,100
13-Apr-14,142.8571429
20-Apr-14,135.7142857
27-Apr-14,100
4-May-14,125
11-May-14,107.1428571
18-May-14,116.6666667
25-May-14,115.3846154
1-Jun-14,107.6923077
8-Jun-14,107.6923077
15-Jun-14,92.85714286
22-Jun-14,81.25
29-Jun-14,106.6666667
6-Jul-14,114.2857143
13-Jul-14,106.6666667
20-Jul-14,114.2857143
27-Jul-14,93.33333333
3-Aug-14,82.35294118
10-Aug-14,92.85714286
17-Aug-14,86.66666667
24-Aug-14,107.6923077
31-Aug-14,107.1428571
7-Sep-14,92.85714286
14-Sep-14,107.1428571
21-Sep-14,100
28-Sep-14,107.1428571
5-Oct-14,87.5
12-Oct-14,107.1428571
19-Oct-14,121.4285714
26-Oct-14,107.1428571
2-Nov-14,115.3846154
9-Nov-14,115.3846154
16-Nov-14,130.7692308
23-Nov-14,209.0909091
30-Nov-14,123.0769231
7-Dec-14,128.5714286
14-Dec-14,161.5384615
21-Dec-14,280
