date,price
22-Apr-12,18.75
29-Apr-12,20
6-May-12,21.42857143
13-May-12,21.42857143
20-May-12,15.38461538
27-May-12,23.07692308
3-Jun-12,21.42857143
10-Jun-12,20
17-Jun-12,15.38461538
24-Jun-12,21.42857143
1-Jul-12,14.28571429
8-Jul-12,18.75
15-Jul-12,20
22-Jul-12,21.42857143
29-Jul-12,21.42857143
5-Aug-12,20
12-Aug-12,18.75
19-Aug-12,21.42857143
26-Aug-12,20
2-Sep-12,20
9-Sep-12,21.42857143
16-Sep-12,21.42857143
23-Sep-12,20
30-Sep-12,18.75
7-Oct-12,20
14-Oct-12,21.42857143
21-Oct-12,18.75
28-Oct-12,23.07692308
4-Nov-12,23.07692308
11-Nov-12,21.42857143
18-Nov-12,25
25-Nov-12,21.42857143
2-Dec-12,20
9-Dec-12,23.07692308
16-Dec-12,23.07692308
23-Dec-12,18.18181818
30-Dec-12,21.42857143
6-Jan-13,4.838709677
13-Jan-13,12
20-Jan-13,13.04347826
27-Jan-13,20
3-Feb-13,18.75
10-Feb-13,16.66666667
17-Feb-13,15.78947368
24-Feb-13,15.78947368
3-Mar-13,16.66666667
10-Mar-13,18.75
17-Mar-13,18.75
24-Mar-13,26.66666667
31-Mar-13,21.42857143
7-Apr-13,20
14-Apr-13,25
21-Apr-13,20
28-Apr-13,13.04347826
5-May-13,18.75
12-May-13,15.38461538
19-May-13,20
26-May-13,9.090909091
2-Jun-13,3
9-Jun-13,5.128205128
16-Jun-13,13.04347826
23-Jun-13,8.695652174
30-Jun-13,14.28571429
7-Jul-13,12
14-Jul-13,5.084745763
21-Jul-13,10.71428571
28-Jul-13,18.18181818
4-Aug-13,18.18181818
11-Aug-13,20
18-Aug-13,15
25-Aug-13,16.66666667
1-Sep-13,15.78947368
8-Sep-13,19.04761905
15-Sep-13,19.04761905
22-Sep-13,15.78947368
29-Sep-13,20
6-Oct-13,16.66666667
13-Oct-13,26.66666667
20-Oct-13,25
27-Oct-13,20
3-Nov-13,25
10-Nov-13,25
17-Nov-13,26.66666667
24-Nov-13,25
1-Dec-13,21.42857143
8-Dec-13,30.76923077
15-Dec-13,23.07692308
22-Dec-13,30
29-Dec-13,14.28571429
5-Jan-14,15
12-Jan-14,16.66666667
19-Jan-14,23.52941176
26-Jan-14,6.818181818
2-Feb-14,3.846153846
9-Feb-14,13.63636364
16-Feb-14,17.64705882
23-Feb-14,17.64705882
2-Mar-14,25
9-Mar-14,20
16-Mar-14,20
23-Mar-14,20
30-Mar-14,28.57142857
6-Apr-14,26.66666667
13-Apr-14,21.42857143
20-Apr-14,21.42857143
