date,price
22-Apr-12,43.75
29-Apr-12,46.66666667
6-May-12,35.71428571
13-May-12,42.85714286
20-May-12,38.46153846
27-May-12,38.46153846
3-Jun-12,42.85714286
10-Jun-12,40
17-Jun-12,38.46153846
24-Jun-12,42.85714286
1-Jul-12,50
8-Jul-12,37.5
15-Jul-12,33.33333333
22-Jul-12,50
29-Jul-12,42.85714286
5-Aug-12,40
12-Aug-12,37.5
19-Aug-12,35.71428571
26-Aug-12,40
2-Sep-12,33.33333333
9-Sep-12,28.57142857
16-Sep-12,35.71428571
23-Sep-12,33.33333333
30-Sep-12,37.5
7-Oct-12,33.33333333
14-Oct-12,35.71428571
21-Oct-12,37.5
28-Oct-12,46.15384615
4-Nov-12,69.23076923
11-Nov-12,35.71428571
18-Nov-12,50
25-Nov-12,42.85714286
2-Dec-12,40
9-Dec-12,69.23076923
16-Dec-12,76.92307692
23-Dec-12,72.72727273
30-Dec-12,35.71428571
6-Jan-13,8.064516129
13-Jan-13,16
20-Jan-13,17.39130435
27-Jan-13,25
3-Feb-13,31.25
10-Feb-13,27.77777778
17-Feb-13,26.31578947
24-Feb-13,26.31578947
3-Mar-13,27.77777778
10-Mar-13,31.25
17-Mar-13,25
24-Mar-13,46.66666667
31-Mar-13,35.71428571
7-Apr-13,40
14-Apr-13,31.25
21-Apr-13,33.33333333
28-Apr-13,26.08695652
5-May-13,37.5
12-May-13,38.46153846
19-May-13,40
26-May-13,12.12121212
2-Jun-13,5
9-Jun-13,12.82051282
16-Jun-13,17.39130435
23-Jun-13,21.73913043
30-Jun-13,23.80952381
7-Jul-13,20
14-Jul-13,8.474576271
21-Jul-13,14.28571429
28-Jul-13,22.72727273
4-Aug-13,22.72727273
11-Aug-13,25
18-Aug-13,25
25-Aug-13,27.77777778
1-Sep-13,36.84210526
8-Sep-13,23.80952381
15-Sep-13,23.80952381
22-Sep-13,31.57894737
29-Sep-13,25
6-Oct-13,27.77777778
13-Oct-13,40
20-Oct-13,31.25
27-Oct-13,40
3-Nov-13,43.75
10-Nov-13,43.75
17-Nov-13,40
24-Nov-13,50
1-Dec-13,50
8-Dec-13,61.53846154
15-Dec-13,76.92307692
22-Dec-13,90
29-Dec-13,23.80952381
5-Jan-14,20
12-Jan-14,27.77777778
19-Jan-14,29.41176471
26-Jan-14,11.36363636
2-Feb-14,6.41025641
9-Feb-14,27.27272727
16-Feb-14,29.41176471
23-Feb-14,29.41176471
2-Mar-14,31.25
9-Mar-14,33.33333333
16-Mar-14,26.66666667
