date	Lucky Charms	Frosted Flakes	Count Chocula	Honey Nut Cheerios	Capn Crunch	Wheaties	Reeses_Puffs	Rice Krispies	Corn Flakes	Raisin Bran	Cookie Crisp	Apple Jacks	Grape-Nuts	Trix	Honeycomb
20120422	25	18.75	12.5	18.75	0	12.5	0	87.5	81.25	18.75	12.5	6.25	0	18.75	43.75
20120429	33.33333333	20	13.33333333	13.33333333	6.666666667	20	0	86.66666667	93.33333333	20	13.33333333	6.666666667	0	26.66666667	46.66666667
20120506	28.57142857	21.42857143	7.142857143	14.28571429	7.142857143	14.28571429	0	85.71428571	92.85714286	28.57142857	35.71428571	7.142857143	0	21.42857143	35.71428571
20120513	21.42857143	21.42857143	7.142857143	14.28571429	7.142857143	14.28571429	0	78.57142857	92.85714286	21.42857143	42.85714286	7.142857143	0	28.57142857	42.85714286
20120520	23.07692308	15.38461538	7.692307692	15.38461538	0	15.38461538	7.692307692	84.61538462	100	23.07692308	30.76923077	7.692307692	0	23.07692308	38.46153846
20120527	30.76923077	23.07692308	7.692307692	7.692307692	0	15.38461538	7.692307692	84.61538462	107.6923077	23.07692308	23.07692308	7.692307692	0	23.07692308	38.46153846
20120603	21.42857143	21.42857143	7.142857143	14.28571429	7.142857143	21.42857143	7.142857143	85.71428571	85.71428571	28.57142857	14.28571429	7.142857143	0	14.28571429	42.85714286
20120610	20	20	6.666666667	13.33333333	6.666666667	20	0	86.66666667	80	13.33333333	20	6.666666667	0	20	40
20120617	30.76923077	15.38461538	7.692307692	15.38461538	7.692307692	15.38461538	0	107.6923077	100	23.07692308	23.07692308	7.692307692	0	23.07692308	38.46153846
20120624	28.57142857	21.42857143	14.28571429	7.142857143	7.142857143	21.42857143	0	107.1428571	85.71428571	14.28571429	21.42857143	7.142857143	0	28.57142857	42.85714286
20120701	28.57142857	14.28571429	7.142857143	14.28571429	0	21.42857143	0	100	92.85714286	14.28571429	14.28571429	7.142857143	0	28.57142857	50
20120708	25	18.75	18.75	18.75	0	12.5	0	87.5	81.25	25	12.5	6.25	0	18.75	37.5
20120715	26.66666667	20	13.33333333	13.33333333	0	20	0	93.33333333	86.66666667	20	20	6.666666667	0	13.33333333	33.33333333
20120722	28.57142857	21.42857143	7.142857143	14.28571429	7.142857143	21.42857143	0	107.1428571	92.85714286	21.42857143	14.28571429	7.142857143	0	21.42857143	50
20120729	28.57142857	21.42857143	7.142857143	14.28571429	0	42.85714286	7.142857143	85.71428571	114.2857143	21.42857143	14.28571429	7.142857143	0	21.42857143	42.85714286
20120805	26.66666667	20	13.33333333	13.33333333	6.666666667	40	0	93.33333333	113.3333333	13.33333333	20	6.666666667	0	20	40
20120812	25	18.75	6.25	12.5	0	25	0	87.5	106.25	18.75	12.5	6.25	0	18.75	37.5
