date,price
22-Apr-12,87.5
29-Apr-12,86.66666667
6-May-12,85.71428571
13-May-12,78.57142857
20-May-12,84.61538462
27-May-12,84.61538462
3-Jun-12,85.71428571
10-Jun-12,86.66666667
17-Jun-12,107.6923077
24-Jun-12,107.1428571
1-Jul-12,100
8-Jul-12,87.5
15-Jul-12,93.33333333
22-Jul-12,107.1428571
29-Jul-12,85.71428571
5-Aug-12,93.33333333
12-Aug-12,87.5
19-Aug-12,100
26-Aug-12,86.66666667
2-Sep-12,93.33333333
9-Sep-12,107.1428571
16-Sep-12,128.5714286
23-Sep-12,100
30-Sep-12,112.5
7-Oct-12,113.3333333
14-Oct-12,128.5714286
21-Oct-12,137.5
28-Oct-12,161.5384615
4-Nov-12,130.7692308
11-Nov-12,128.5714286
18-Nov-12,191.6666667
25-Nov-12,164.2857143
2-Dec-12,180
9-Dec-12,276.9230769
16-Dec-12,353.8461538
23-Dec-12,300
30-Dec-12,121.4285714
6-Jan-13,25.80645161
13-Jan-13,60
20-Jan-13,69.56521739
27-Jan-13,85
3-Feb-13,118.75
10-Feb-13,122.2222222
17-Feb-13,89.47368421
24-Feb-13,89.47368421
3-Mar-13,105.5555556
10-Mar-13,131.25
17-Mar-13,131.25
24-Mar-13,206.6666667
31-Mar-13,128.5714286
7-Apr-13,113.3333333
14-Apr-13,112.5
21-Apr-13,113.3333333
28-Apr-13,73.91304348
5-May-13,87.5
12-May-13,115.3846154
19-May-13,106.6666667
26-May-13,48.48484848
2-Jun-13,13
9-Jun-13,41.02564103
16-Jun-13,65.2173913
23-Jun-13,60.86956522
30-Jun-13,95.23809524
7-Jul-13,60
14-Jul-13,30.50847458
21-Jul-13,53.57142857
28-Jul-13,72.72727273
4-Aug-13,90.90909091
11-Aug-13,95
18-Aug-13,90
25-Aug-13,94.44444444
1-Sep-13,84.21052632
8-Sep-13,85.71428571
15-Sep-13,80.95238095
22-Sep-13,89.47368421
29-Sep-13,90
6-Oct-13,100
13-Oct-13,133.3333333
20-Oct-13,118.75
27-Oct-13,153.3333333
3-Nov-13,100
10-Nov-13,118.75
17-Nov-13,140
24-Nov-13,208.3333333
1-Dec-13,178.5714286
8-Dec-13,246.1538462
15-Dec-13,353.8461538
22-Dec-13,380
29-Dec-13,90.47619048
5-Jan-14,85
12-Jan-14,94.44444444
19-Jan-14,94.11764706
26-Jan-14,43.18181818
2-Feb-14,28.20512821
9-Feb-14,109.0909091
16-Feb-14,94.11764706
23-Feb-14,100
2-Mar-14,106.25
9-Mar-14,120
16-Mar-14,133.3333333
23-Mar-14,120
30-Mar-14,135.7142857
6-Apr-14,133.3333333
13-Apr-14,221.4285714
20-Apr-14,142.8571429
27-Apr-14,120
4-May-14,166.6666667
11-May-14,114.2857143
18-May-14,141.6666667
25-May-14,115.3846154
1-Jun-14,123.0769231
8-Jun-14,123.0769231
15-Jun-14,114.2857143
22-Jun-14,106.25
29-Jun-14,120
6-Jul-14,100
13-Jul-14,106.6666667
20-Jul-14,114.2857143
27-Jul-14,100
3-Aug-14,88.23529412
10-Aug-14,100
17-Aug-14,100
24-Aug-14,100
31-Aug-14,114.2857143
7-Sep-14,107.1428571
14-Sep-14,114.2857143
21-Sep-14,114.2857143
28-Sep-14,121.4285714
5-Oct-14,106.25
12-Oct-14,135.7142857
19-Oct-14,135.7142857
26-Oct-14,164.2857143
2-Nov-14,123.0769231
9-Nov-14,146.1538462
16-Nov-14,153.8461538
23-Nov-14,218.1818182
30-Nov-14,176.9230769
7-Dec-14,221.4285714
14-Dec-14,300
21-Dec-14,450
28-Dec-14,150
4-Jan-15,100
11-Jan-15,106.6666667
18-Jan-15,106.6666667
25-Jan-15,106.25
1-Feb-15,106.25
8-Feb-15,126.6666667
15-Feb-15,114.2857143
22-Feb-15,113.3333333
1-Mar-15,114.2857143
8-Mar-15,120
15-Mar-15,135.7142857
22-Mar-15,140
29-Mar-15,228.5714286
5-Apr-15,128.5714286
12-Apr-15,107.1428571
19-Apr-15,113.3333333
26-Apr-15,130.7692308
3-May-15,133.3333333
10-May-15,150
17-May-15,141.6666667
24-May-15,150
31-May-15,138.4615385
7-Jun-15,125
14-Jun-15,141.6666667
21-Jun-15,133.3333333
28-Jun-15,158.3333333
5-Jul-15,123.0769231
12-Jul-15,128.5714286
19-Jul-15,153.8461538
26-Jul-15,138.4615385
2-Aug-15,138.4615385
9-Aug-15,130.7692308
16-Aug-15,114.2857143
23-Aug-15,130.7692308
30-Aug-15,94.11764706
6-Sep-15,88.23529412
13-Sep-15,93.75
20-Sep-15,100
27-Sep-15,93.75
4-Oct-15,28.37837838
11-Oct-15,86.36363636
18-Oct-15,137.5
25-Oct-15,186.6666667
1-Nov-15,113.3333333
8-Nov-15,112.5
15-Nov-15,157.1428571
22-Nov-15,207.1428571
29-Nov-15,173.3333333
6-Dec-15,271.4285714
13-Dec-15,469.2307692
20-Dec-15,836.3636364
27-Dec-15,263.6363636
3-Jan-16,156.25
10-Jan-16,135.2941176
17-Jan-16,150
24-Jan-16,121.0526316
31-Jan-16,111.7647059
7-Feb-16,111.7647059
14-Feb-16,100
21-Feb-16,93.75
28-Feb-16,100
6-Mar-16,100
13-Mar-16,164.7058824
20-Mar-16,193.75
27-Mar-16,125
3-Apr-16,105.8823529
10-Apr-16,100
17-Apr-16,94.44444444
24-Apr-16,83.33333333
1-May-16,94.11764706
8-May-16,100
15-May-16,107.1428571
22-May-16,100
29-May-16,138.4615385
5-Jun-16,157.1428571
12-Jun-16,125
19-Jun-16,65.2173913
26-Jun-16,100
3-Jul-16,112.5
10-Jul-16,93.75
17-Jul-16,107.1428571
24-Jul-16,126.6666667
31-Jul-16,123.5294118
7-Aug-16,105.8823529
14-Aug-16,106.25
21-Aug-16,117.6470588
28-Aug-16,105.8823529
4-Sep-16,100
11-Sep-16,85
18-Sep-16,100
25-Sep-16,105.8823529
2-Oct-16,133.3333333
9-Oct-16,131.25
16-Oct-16,126.6666667
23-Oct-16,206.6666667
30-Oct-16,164.2857143
6-Nov-16,146.1538462
13-Nov-16,123.5294118
20-Nov-16,171.4285714
27-Nov-16,171.4285714
4-Dec-16,264.2857143
11-Dec-16,315.3846154
18-Dec-16,483.3333333
25-Dec-16,236.3636364
1-Jan-17,117.6470588
8-Jan-17,105.2631579
15-Jan-17,129.4117647
22-Jan-17,115.7894737
29-Jan-17,127.7777778
5-Feb-17,133.3333333
12-Feb-17,143.75
19-Feb-17,111.7647059
26-Feb-17,100
5-Mar-17,94.44444444
12-Mar-17,27.38095238
19-Mar-17,47.36842105
26-Mar-17,82.60869565
2-Apr-17,86.36363636
9-Apr-17,138.0952381
16-Apr-17,80.95238095
